"id"|"Brand"|"Tahun Rilis"|"Nama Produk"|"Jaringan"|"Material"|"SIM Slots"|"Technology"|"Ukuran Layar"|"Screen Resolution"|"OS Version & Version Detail"|"Prosesor"|"GPU"|"RAM (GB)"|"Memori Internal (GB)"|"NFC"|"USB"|"Kapasitas Baterai"|"Daya Fast Charging"|"Waterproof"|"Sensor"|"3.5mm Jack"|"Resolusi Kamera Belakang"|"Resolusi Kamera Utama Lainnya"|"Dual Kamera Belakang"|"Jumlah Kamera Belakang"|"Resolusi Kamera Depan"|"Dual Kamera Depan"|"Flash"|"Dual Flash"|"Video"|"Harga"
"4"|"Vivo"|"Android 2024"|"X200"|"3G, 4G, 5G"|"Glass front, aluminum alloy frame, glass back"|"2"|"AMOLED"|"6.67"|"2800 x 1260"|"Android 15, OriginOS 5"|"MediaTek, Dimensity 9400, Octa"|"Immortalis-G925"|"12 GB"|"512 GB"|"True"|"Type-C, USB OTG"|"5800"|"90 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"No"|"50"|"50, 50"|"True"|"3"|"32"|"No"|"True"|"No"|"4K, 1080p, gyro-EIS"|"Rp 14.999.000"
"5"|"Vivo"|"Android 2024"|"X200 Pro Mini"|"3G, 4G, 5G"|"Glass front, aluminum alloy frame"|"2"|"LTPO AMOLED"|"6.3"|"2640 x 1216"|"Android 15, OriginOS 5"|"MediaTek, Dimensity 9400, Octa"|"Immortalis-G925"|"12 GB"|"256 GB"|"True"|"Type-C, USB OTG"|"5700"|"90 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"No"|"50"|"50, 50"|"True"|"3"|"32"|"No"|"True"|"No"|"4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, HDR"|"Rp 15.299.000"
"6"|"Vivo"|"Android 2024"|"X200"|"3G, 4G, 5G"|"Glass front, aluminum alloy frame, glass back"|"2"|"AMOLED"|"6.67"|"2800 x 1260"|"Android 15, OriginOS 5"|"MediaTek, Dimensity 9400, Octa"|"Immortalis-G925"|"16 GB"|"1024 GB"|"True"|"Type-C, USB OTG"|"5800"|"90 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"No"|"50"|"50, 50"|"True"|"3"|"32"|"No"|"True"|"No"|"4K, 1080p, gyro-EIS"|"Rp 16.999.000"
"7"|"Vivo"|"Android 2024"|"X200"|"3G, 4G, 5G"|"Glass front, aluminum alloy frame, glass back"|"2"|"AMOLED"|"6.67"|"2800 x 1260"|"Android 15, OriginOS 5"|"MediaTek, Dimensity 9400, Octa"|"Immortalis-G925"|"12 GB"|"256 GB"|"True"|"Type-C, USB OTG"|"5800"|"90 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"No"|"50"|"50, 50"|"True"|"3"|"32"|"No"|"True"|"No"|"4K, 1080p, gyro-EIS"|"Rp 13.999.000"
"8"|"Vivo"|"Android 2024"|"X200"|"3G, 4G, 5G"|"Glass front, aluminum alloy frame, glass back"|"2"|"AMOLED"|"6.67"|"2800 x 1260"|"Android 15, OriginOS 5"|"MediaTek, Dimensity 9400, Octa"|"Immortalis-G925"|"16 GB"|"512 GB"|"True"|"Type-C, USB OTG"|"5800"|"90 W"|"No"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"No"|"50"|"50, 50"|"True"|"3"|"32"|"No"|"True"|"No"|"4K, 1080p, gyro-EIS"|"Rp 15.999.000"
"9"|"Vivo"|"Android 2024"|"X200 Pro"|"3G, 4G, 5G"|"Glass front, aluminum frame, glass back"|"2"|"LTPO AMOLED"|"6.68"|"2800 x 1260"|"Android 15, OriginOS 5"|"MediaTek, Dimensity 9400, Octa"|"Immortalis-G925"|"16 GB"|"1024 GB"|"True"|"Type-C, USB OTG"|"6000"|"90 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"No"|"50"|"200, 50"|"True"|"3"|"32"|"No"|"True"|"No"|"8K@30fps, 4K@30/60/120fps, 1080p, gyro-EIS, 10-bit HDR"|"Rp 20.199.000"
"10"|"Vivo"|"Android 2024"|"X200 Pro"|"3G, 4G, 5G"|"Glass front, aluminum frame, glass back"|"2"|"LTPO AMOLED"|"6.68"|"2800 x 1260"|"Android 15, OriginOS 5"|"MediaTek, Dimensity 9400, Octa"|"Immortalis-G925"|"12 GB"|"256 GB"|"True"|"Type-C, USB OTG"|"6000"|"90 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"No"|"50"|"200, 50"|"True"|"3"|"32"|"No"|"True"|"No"|"8K@30fps, 4K@30/60/120fps, 1080p, gyro-EIS, 10-bit HDR"|"Rp 17.199.000"
"11"|"Vivo"|"Android 2024"|"X200 Pro Mini"|"3G, 4G, 5G"|"Glass front, aluminum alloy frame"|"2"|"LTPO AMOLED"|"6.3"|"2640 x 1216"|"Android 15, OriginOS 5"|"MediaTek, Dimensity 9400, Octa"|"Immortalis-G925"|"16 GB"|"1024 GB"|"True"|"Type-C, USB OTG"|"5700"|"90 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"No"|"50"|"50, 50"|"True"|"3"|"32"|"No"|"True"|"No"|"4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, HDR"|"Rp 18.299.000"
"12"|"Vivo"|"Android 2024"|"X200 Pro Mini"|"3G, 4G, 5G"|"Glass front, aluminum alloy frame"|"2"|"LTPO AMOLED"|"6.3"|"2640 x 1216"|"Android 15, OriginOS 5"|"MediaTek, Dimensity 9400, Octa"|"Immortalis-G925"|"16 GB"|"512 GB"|"True"|"Type-C, USB OTG"|"5700"|"90 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"No"|"50"|"50, 50"|"True"|"3"|"32"|"No"|"True"|"No"|"4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, HDR"|"Rp 16.899.000"
"13"|"Vivo"|"Android 2024"|"X200 Pro"|"3G, 4G, 5G"|"Glass front, aluminum frame, glass back"|"2"|"LTPO AMOLED"|"6.68"|"2800 x 1260"|"Android 15, OriginOS 5"|"MediaTek, Dimensity 9400, Octa"|"Immortalis-G925"|"16 GB"|"512 GB"|"True"|"Type-C, USB OTG"|"6000"|"90 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"No"|"50"|"200, 50"|"True"|"3"|"32"|"No"|"True"|"No"|"8K@30fps, 4K@30/60/120fps, 1080p, gyro-EIS, 10-bit HDR"|"Rp 18.899.000"
